36,The Valley of Decision†, immigrant maid steel mill strike union,1
37,Spellbound†, amnesia dream analysis dream sequence guilt complex post traumatic stress disorder,1
38,The Lost Weekend†, addiction alcoholic alcoholism paranoia suicidal thoughts,1
39,Duel in the Sun†, box office hit half breed infidelity shooting texas,1
40,It's a Wonderful Life†, angel bank guardian angel second chance small town life,1
41,The Best Years of Our Lives†, love pity readjusting to civilian life veteran world war two veteran,1
42,Tycoon†, engineer ethics mountain railroad south america,1
43,Gentleman's Agreement†, bigotry jewish prejudice racism writer,1
44,The Lady from Shanghai†, law partner murder partner seaman yacht,1
45,The Woman on the Beach, post traumatic stress seductress mine femme fatale romantic triangle painting beach footprint in sand blacksmith dysfunctional marriage world war two veteran engagement cake love hate relationship life jacket,1
46,The Pirate†, hoop horseback riding love pirate singer,1
47,Red River†, cattle cattle drive cowboy kansas texas,1
48,Open Secret†, anti semitism gangster,1
49,She Wore a Yellow Ribbon†, captain cavalry fort retirement yellow ribbon,1
50,Sands of Iwo Jima†, battle combat heroic military sergeant tarawa,1
51,Annie Get Your Gun†, girl gun love sharpshooter the end,1
52,The Gunfighter, gunslinger saloon marshal gunfight love interest kiss bar shootout guns of the west professional gunfighter street shootout main character shot main character dies shootout widow teacher,1
53,Twelve O'Clock High, american abroad b 17 bomber reminiscence military leadership world war two bomber bombing combat warplane combat fatigue airplane coming down four engine airplane machine gun automatic weapon aircrew,1
54,Quo Vadis†, christian emperor general hostage nero,1
55,Show Boat†, gambling interracial marriage love miscegenation showboat,1
56,A Streetcar Named Desire†, brother in law sister in law relationship expectant father histrionic personality disorder middle aged woman off screen rape,1
57,The Day the Earth Stood Still, robot alien contact cold war era washington dc spacecraft extraterrestrial boy meets alien afi humanity in peril first contact social commentary hope red scare death ray physicist,1
58,The Greatest Show on Earth†, circus clown elephant trainer trapeze trapeze artist,1
59,Singin' in the Rain†, actress chorus girl fan friend love,1
60,Deadline - U.S.A.†, editor gangster newspaper organized crime press,1
61,High Noon†, appeasement frontier justice justice one against many street shootout,1
62,The Robe†, box office hit crucifixion nightmare palestine robe,1
63,From Here to Eternity†, boxing captain hawaii love sergeant,1
64,Niagara†, hitchcockian husband murders wife murder niagara falls overhead shot,1
65,The Beast from 20,000 Fathoms†, arctic beast dinosaur monster rhedosaurus,1
66,From Here to Eternity, captain boxing pearl harbor hawaii friend private officer sergeant bugle barracks bugler stockade us army running punishment,1
67,The Man from the Alamo, wagon train texas alamo death murder wound woman with a gun street shootout epic battle falling into water horse chase nursing back to health man boy relationship falling down a mountain soldier,1
68,20,000 Leagues Under the Sea†, captain expedition sea submarine whale,1
69,The Egyptian†, afterlife egypt pharaoh princess pyramid,1
70,On the Waterfront†, death dock longshoreman murder union,1
71,Seven Samurai†, 16th century battle japan practice samurai,1
72,The Trouble with Harry†, artist death hunting sheriff vermont,1
73,Ordet†, august doctor faith patriarch prayer,1
74,Moby Dick†, obsession revenge ship whale whaling,1
75,Trapeze†, acrobat circus cripple trapeze trapeze artist,1
76,Love Me Tender†, army civil war robbery soldier train,1
77,The Bridge on the River Kwai†, allies bridge construction jungle sabotage,1
78,12 Angry Men†, courtroom dialogue driven dialogue driven storyline jury murder,1
79,Cat on a Hot Tin Roof†, cancer football homosexuality marriage mississippi,1
80,Solomon and Sheba†, king pharaoh queen queen of sheba tribe,1
81,The Nun's Story†, belgium congo convent nun nurse,1
82,Some Like It Hot†, all girl band band cross dressing musician yacht,1
83,Psycho†, money motel rain shower theft,1
84,The Apartment†, apartment elevator elevator girl love mistress,1
85,Elmer Gantry†, 1920s evangelist preacher revival traveling salesman,1
86,West Side Story†, dance gang new york city puerto rican tragedy,1
87,The Misfits†, cowboy divorce horse sexy wild horse,1
88,Judgment at Nuremberg†, judge law nazi nuremberg war crime,1
89,Pocketful of Miracles†, 1930s apple dude luck new york city,1
90,The Hustler†, drink manager money partner pool hall,1
91,Lolita†, lolita nymphet older man young girl relationship professor writer,1
92,Lawrence of Arabia†, arab british military desert ottoman empire te lawrence,1
93,The Longest Day†, allies d day invasion normandy world war two,1
94,The Man Who Shot Liberty Valance†, friend funeral outlaw pistol stagecoach,1
95,To Kill a Mockingbird†, 1930s alabama lawyer six year old trial,1
96,Dr. No†, british secret service hand to hand combat murder official james bond series terrorist plot,1
97,The Brain That Wouldn't Die†, brain fiance laboratory surgeon surgery,1
98,Cleopatra†, cleopatra egypt epic queen roman empire,1
99,55 Days at Peking†, ambassador boxer rebellion china colonialism peking china,1
100,It's a Mad, Mad, Mad, Mad World†, california desert dying words money race,1
101,The Great Escape†, digging escape escape attempt prisoner tunnel,1
102,Donovan's Reef†, falling into water medical doctor priest roof leak swimming in the ocean,1
103,Hud†, alcoholism forename as title rancher rodeo cowboy texas,1
104,From Russia with Love†, assassin british agent british secret service decoder russian,1
105,Tom Jones†, 18th century rags to riches secret letter squire tutor,1
106,What Ever Happened to Baby Jane?, sibling rivalry hollywood child star aging actress vaudeville torture revenge recluse piano car accident former child star wheelchair cult film psychopath as protagonist,1
107,The Fall of the Roman Empire†, 2nd century emperor european history loosely based on historical events roman empire,1
108,My Fair Lady†, colonel flower girl professor street wager,1
109,Mary Poppins†, banker female protagonist live action and animation magic nanny,1
110,The Train†, art french german painting train,1
111,Goldfinger†, bikini covered in melted gold fort knox gold pilot,1
112,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb†, bomber doomsday general us president war room,1
113,A Hard Day's Night†, boy concert drummer manager television,1
114,Nothing But a Man†, 1960s father railroad town worker,1
115,A Fistful of Dollars†, balladeer bar drifter mexican revenge,1
116,Une Femme Mari√©e†, acting actor face slap fashion magazine,1
117,The Greatest Story Ever Told†, 70mm film biblical epic faith jewish king herod,1
118,Doctor Zhivago†, bolshevik poet poetry russia russian revolution,1
119,Thunderball†, domino fiery redhead nassau official james bond series underwater battle,1
120,The Sound of Music†, austria children governess love orchestral music score,1
121,Major Dundee†, apache apache indian confederate mexico scout,1
122,The Party's Over†, beatnik businessman necrophilia party partying,1
123,Pierrot le Fou†, beach money on the run party smuggling,1
124,A Charlie Brown Christmas†, christmas christmas tree commercialism meaning of christmas tree,1
125,A Man for All Seasons†, catholic chancellor divorce king henry viii thomas more,1
126,Harper†, kidnapping los angeles california neo noir private detective ransom,1
127,Torn Curtain†, defection east germany germany iron curtain scientist,1
128,A Funny Thing Happened on the Way to the Forum†, based on stage musical based on stage musical based on stage play freedom historical fiction virgin,1
129,Batman: The Movie†, black cat catwoman dc comics penguin riddler,1
130,The Good, the Bad and the Ugly†, civil war hitman outlaw shootout spaghetti western,1
131,Nevada Smith, nevada prison two word title man whipped unconscious male whipping bare chested male bondage bare chested male murder of family man murders a woman duel ambush knife fight knife colt 45 six shooter,1
132,You Only Live Twice†, faked death japan japanese poison secret headquarters,1
133,In Cold Blood†, homoeroticism kansas murder police robbery,1
134,Point Blank†, criminal gangster money revenge violence,1
135,The Torture Chamber of Dr. Sadism†, count drawn and quartered tied up torture chamber torture device,1
136,Yours, Mine and Ours†, nurse parent sibling widow widower,1
137,2001: A Space Odyssey†, ancient astronaut famous line message from outer space monolith star child,1
138,Oliver!†, abuse child orphan orphanage pickpocket,1
139,Barbarella†, 41st century angel future laser gun space opera,1
140,Once Upon a Time in the West†, gang gun harmonica killing woman in bathtub,1
141,Night of the Living Dead†, cemetery farmhouse radiation running out of gas zombie,1
142,Rosemary's Baby†, devil worship incubus paranoia raped by a demon satanism,1
143,Hang 'Em High†, imperative in title judge marshal murder vigilante,1
144,Shalako†, bare chested male bondage european female frontal nudity topless woman war paint,1
145,Charly†, disability experiment genius intelligence mouse,1
146,Firecreek, sheriff sociopath psychopath mixed race child indian woman freebooters wound stable western town street shootout one against many disarming someone small western town wild west old west,1
147,Paint Your Wagon†, california farmer gold mining prospector,1
148,Sweet Charity†, charity dancer foreign language adaptation hope taxi dancer,1
149,Machine Gun McCain†, casino gang violence robbery suicide violence,1
150,On Her Majesty's Secret Service†, bond girl british mission portugal switzerland,1
151,Butch Cassidy and the Sundance Kid†, bolivia gang outlaw posse train,1
152,The Wild Bunch†, friendship honor righteous rage soldier texas,1
153,Topaz†, 1960s agent cuba intelligence spy,1
154,Midnight Cowboy†, gay homosexual homosexuality hustler male rear nudity,1
155,Mississippi Mermaid†, antibes hotel island reunion reunion island,1
156,The Stewardesses†, female frontal nudity female nudity lesbian sex lesbianism sex,1
157,The Valley of Gwangi, valley horse wild west show miniature horse allosaurus dinosaur and man paleontologist professor circus tyrannosaurus rex mexican cowgirl cowboy british curse,1
158,Tora! Tora! Tora!†, attack hawaii navy pearl harbor us navy,1
159,Waterloo†, battle costume drama final battle napoleon napoleon bonaparte,1
160,Darling Lili†, crepe suzette french mata hari spoof song spy,1
161,Catch-22†, catch 22 friend insanity kneed in the groin military,1
162,Patton†, allies dead soldier destiny general tank,1
163,The Molly Maguires†, coal detective irish irish immigrant pennsylvania,1
164,The Ballad of Cable Hogue†, desert partner prostitute stagecoach water,1
165,Beneath the Planet of the Apes†, ape astronaut mission planet rescue,1
166,Cotton Comes to Harlem†, black cop chase cotton four word title new york city,1
167,Beyond the Valley of the Dolls†, band drugs friendship hollywood satire,1
168,The Conformist†, fascist gun italy nudity sexuality,1
169,Woodstock†, drugs hippie music festival the who woodstock,1
170,The French Connection†, crime boss drug smuggling heroin mafia boss organized crime,1
171,Fiddler on the Roof†, immigration jewish pogrom tradition tradition versus modernity,1
172,Diamonds Are Forever†, cat diamond ford mustang james bond 007 yanked off bikini top,1
173,The Andromeda Strain†, alien baby new mexico satellite scientist,1
174,Willy Wonka & the Chocolate Factory†, candy chocolate factory miniaturization sudden change in size,1
175,Escape from the Planet of the Apes†, ape fear future spacecraft spaceship,1
176,Bananas†, fictitious country latin america president rebellion reference to fidel castro,1
177,Sweet Sweetback's Baadasssss Song†, black panther hells angels on the run racist racist cop,1
178,The Night Visitor†, escape independent film mental illness prison revenge,1
179,Pink Narcissus†, male frontal nudity male pubic hair male rear nudity pubic hair street hustler,1
180,Solaris†, hallucination ocean psychologist scientist space station,1
181,The Godfather†, crime family mafia organized crime patriarch rise to power,1
182,1776†, continental congress debate declaration of independence massachusetts pennsylvania,1
183,Frenzy†, penknife police rape serial killer united kingdom,1
184,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask†, aphrodisiac court jester jester queen written and directed by cast member,1
185,Conquest of the Planet of the Apes†, ape future intelligence revolution slave revolt,1
186,Silent Running†, forest greenhouse plant robot space,1
187,Cries & Whispers†, dying love mansion selfishness turn of the century,1
188,Pink Flamingos†, absurd humor egg gross out humor lesbian sex,1
189,Mean Streets†, bar catholic guilt epilepsy italian american money,1
190,The Exorcist†, demonic possession exorcism exorcist loss of innocence priest,1
191,Live and Let Die†, british cards heroin murder tarot card,1
192,The Sting†, con con man courier long con murder,1
193,High Plains Drifter†, gravestone gunfighter outlaw revenge small town,1
194,Pat Garrett & Billy the Kid†, bare breasts flogging human branding man slaps a woman manhunt,1
195,Sleeper†, frozen future health food leader police,1
196,Battle for the Planet of the Apes†, ape general gorilla outer space planet of the apes,1
197,American Graffiti†, california car drag racing high school rock n roll,1
198,Godspell, song singing singer kicked in the butt based on stage musical world trade center manhattan new york city manhattan new york city christian christianity bible reference to mae west shofar brooklyn bridge electrocution hippie,1
199,The Godfather: Part II†, 1950s corrupt politician lake tahoe nevada melancholy revenge,1
200,The Texas Chain Saw Massacre†, cannibal chainsaw hitchhiker independent film leatherface,1
201,The Man with the Golden Gun†, assassin bikini girl in a bikini mission secret agent,1
202,The Front Page†, 1920s communist escape from jail newspaper reporter,1
203,Young Frankenstein†, assistant castle experiment frankensteins monster scientist,1
204,Blazing Saddles†, railroad reference to douglas fairbanks reference to jesse owens reference to randolph scott year 1874,1
205,The Conversation†, corruption neo noir recording saxophone surveillance,1
206,Benji†, animal abuse cat dog dog movie tween girl,1
207,Jaws†, beach blockbuster fishing great white shark shark,1
208,Barry Lyndon†, 18th century england rise and fall rural setting wealth,1
209,The Return of the Pink Panther†, clouseau diamond panther pink pink panther,1
210,One Flew Over the Cuckoo's Nest†, 1960s escape mental institution nurse sexuality,1
211,Monty Python and the Holy Grail†, camelot holy grail king arthur knight lancelot,1
212,Death Race 2000†, cult director cult film drive in classic psychotronic race,1
213,The Bad News Bears†, baseball california coach little league swimming pool,1
214,The Omen†, ambassador death hospital priest stillborn child,1
215,Logan's Run†, cat computer cult film runner sanctuary,1
216,Robin and Marian†, crusades friar robin hood sheriff sheriff of nottingham,1
217,Silent Movie†, black comedy friend modern silent movie silent movie two word title,1
218,Network†, media monologue television television network television news,1
219,Family Plot†, actor diamond heir kidnapping ransom,1
220,Rocky†, boxer hometown hero philadelphia pennsylvania protective male training,1
221,Taxi Driver†, loner neo noir night shift taxi driver vigilante,1
222,A Bridge Too Far†, airborne troops allies operation market garden panzer paratrooper,1
223,Sorcerer†, fire jungle money oil drilling truck,1
224,Close Encounters of the Third Kind†, alien close encounter of the third kind mothership ufo vision,1
225,Damnation Alley†, cockroach desert ghost town giant spider travel,1
226,The Spy Who Loved Me†, 1970s cult film official james bond series submarine world war three,1
227,Exorcist II: The Heretic†, demon exorcism locust priest repressed memory,1
228,New York, New York†, love musician saxophonist singer songwriter,1
229,Star Wars: Episode IV - A New Hope†, death star empire galactic war princess rebellion,1
230,March or Die†, arab bare chested male foreign legion french foreign legion morocco,1
231,Julia†, 1930s female protagonist nazi romantic friendship writer,1
232,Capricorn One†, astronaut hoax journalist mission nasa,1
233,Annie Hall†, breaking the fourth wall comedian jewish neurosis singer,1
234,High Anxiety†, belldons hysteria high anxiety hitchcockian murder parody,1
235,The Kentucky Fried Movie†, fake commercial fake newscast fake trailer parody spoof,1
236,Kingdom of the Spiders†, death farm hotel spider tarantula,1
237,Eraserhead†, apartment baby deformed baby factory surrealism,1
238,Superman†, 1970s clark kent planet superhero year 1978,1
239,The Wiz†, melancholy new york city sadness teacher wizard,1
240,Jaws 2†, great white shark island mayor police chief shark,1
241,Halloween†, halloween masked killer michael myers slasher trick or treat,1
242,The Deer Hunter†, escape friend party pittsburgh steelers vietnam,1
243,Caravans†, afghanistan caravan rebel russian tribe,1
244,The Boys from Brazil†, 1970s jew nazi nazi hunter paraguay,1
245,F.I.S.T.†, 1930s driving through a gate funeral senator trade union,1
246,Alien Zone†, affair child murderer mortician strangulation supernatural power,1
247,Grease†, automobile racing boyfriend girlfriend relationship high school wrestling year 1959,1
248,Force 10 from Navarone†, colonel mission partisan spy traitor,1
249,Animal House†, academic probation camera shot of feet fraternity school expulsion smashing a guitar,1
250,Days of Heaven†, farm farm worker grasshopper harvest wealth,1
251,The Last Waltz†, band final concert guitar interview thanksgiving,1
252,All That Jazz†, dancer editing stand up comedian surgery vomiting,1
253,Star Trek: The Motion Picture†, alien space space station spacecraft warp speed,1
254,1941†, california captain cult film pearl harbor submarine,1
255,Apocalypse Now†, army green beret insanity jungle vietnam,1
256,Moonraker†, astronaut dog official james bond series space shuttle space shuttle transported on a 747,1
257,The Black Hole†, black hole escape palomino robot scientist,1
258,Meteor†, asteroid meteor nasa nuclear weapon satellite,1
259,Prophecy†, cabin monster monster movie paper mill pollution,1
260,Alien†, alien creature future outer space spaceship,1
261,The Rose†, awol demand driver drugs roses,1
262,The Muppet Movie†, friend frog leg on the road restaurant the muppets,1
263,Escape from Alcatraz†, alcatraz escape inmate island prison,1
264,The Great Train Robbery†, bank gold key safe train,1
265,The Black Stallion†, black horse boy horse relationship horse rescued by a horse training,1
266,Mad Max†, biker motorcycle motorcycle gang post apocalypse woman wearing only a mans shirt,1
267,Penitentiary†, blaxploitation boxing convict drifter false accusation,1
268,Superman II†, alien invasion based on comic book flying superhero phantom zone revenge,1
269,Heaven's Gate†, 1890s hired gun immigrant johnson county war sheriff,1
270,Raise the Titanic†, military mineral ocean ship titanic,1
271,Flash Gordon†, american football cult film emperor flash gordon mind reading,1
272,Lion of the Desert†, arab general libya muslim mussolini,1
273,The Blues Brothers†, band catholic money parolee prison,1
274,Star Wars: Episode V - The Empire Strikes Back†, duel famous twist rebel rescue snowy landscape,1
275,Can't Stop the Music†, male frontal nudity male full frontal nudity male nudity male rear nudity new york city,1
276,The Shining†, breaking down a door haunted hotel identical twins labyrinth twin sisters,1
277,The Fog†, california fog leper lighthouse ship,1
278,Raging Bull†, boxing domestic violence hot temper jealousy rage,1
279,Private Benjamin†, camera shot of feet female stockinged feet loss of husband pantyhose suntan pantyhose,1
280,Coal Miner's Daughter†, country music kissing while having sex poverty singer title based on song,1
281,The Long Riders†, bank breasts famous score last man standing revenge,1
282,Dressed to Kill†, apartment elevator murder psychiatrist sunglasses,1
283,Ordinary People†, choir death friend suicide therapy,1
284,Caddyshack†, caddy country club golf course gopher nudity,1
285,Galaxina†, alien android fem bot female android stars,1
286,Somewhere in Time†, hotel love love across time time travel time travel romance,1
287,The Elephant Man†, curiosity exploitation freak hospital physical deformity,1
288,Out of the Blue†, explosion hitchhiking punk trauma truck driver,1
289,The Blue Lagoon†, coming of age island poison teenage boy teenage girl,1
290,Airplane!†, air traffic controller airplane airport pilot spoof,1
291,Inchon†, 1950s douglas macarthur general inchon invasion,1
292,Reds†, cold war cold war era interview russia written and directed by cast member,1
293,For Your Eyes Only†, agent british ice skater ship spy,1
294,Raiders of the Lost Ark†, archeological dig archeologist ark of the covenant egypt nazi,1
295,Under the Rainbow†, assassin hotel japanese tourist secret service wizard of oz,1
296,The Legend of the Lone Ranger†, ambush hero masked hero outlaw texas ranger,1
297,Blow Out†, conspiracy political conspiracy recording sound truth,1
298,Dragonslayer†, apprentice dragon king kingdom wizard,1
299,Roar†, chase dead man jungle killing a lion killing a tiger,1
300,Quest for Fire†, fire prehistoric times primitive tribe trio,1
301,Time Bandits†, cult director dwarf robin hood satire treasure,1
302,The Postman Always Rings Twice†, adultery drifter lunch wagon murder neo noir,1
303,Das Boot†, duty submarine submarine movie tension u boat,1
304,The Pursuit of D.B. Cooper†, escape jumping from an airplane money parachute ransom,1
305,History of the World: Part I†, french revolution old testament part of an unfinished series reference to john wayne roman emperor,1
306,Stripes†, army boot camp breasts graduation rescue,1
307,Heartbeeps†, escape fish out of water love robot servant,1
308,Sphinx†, bat curse egyptologist mummy murder,1
309,Heavy Metal†, anthology girl heavy metal secretary segments,1
310,Modern Problems†, air traffic controller nuclear waste orgasm telekinesis voodoo,1
311,The Four Seasons†, directed by star friendship reference to isaac newton skinny dipping written and directed by cast member,1
312,Escape from New York†, 1990s police prison rescue year 1997,1
313,Chariots of Fire†, athlete jew missionary olympic games race,1
314,Mommie Dearest†, abusive mother adopted daughter borderline personality disorder perfection sadistic cruelty,1
315,Nighthawks†, bomb new york city partner shooting terrorist,1
316,Porky's†, female full frontal nudity revenge school sheriff virginity,1
317,Mad Max 2: The Road Warrior†, australian gasoline post apocalypse refinery warrior,1
318,Friday the 13th Part 2†, ice pick jason voorhees lake pitchfork shack,1
319,The Howling†, 1980s forest lycanthrope shapeshifting werewolf transformation,1
320,The Beyond†, doctor hell hotel painter plumber,1
321,The Evil Dead†, cult director cult film evil dead necronomicon psychotronic film,1
322,Graduation Day†, coach mask school principal team track,1
323,The Watcher in the Woods, teenage girl occult solar eclipse past eclipse country home tomb ruins dirt bike fire barn fireplace church farm supernatural,1
324,Conan the Barbarian†, actual animal killed cult evil sorcerer gladiator warlord,1
325,Creepshow†, anthology child abuse critically acclaimed death grindhouse,1
326,First Blood†, 1980s colonel deputy rambo sheriff,1
327,The Thing†, alien creature alien life form antarctica isolation paranoia,1
328,Poltergeist†, ghost haunted haunting house paranormal investigator,1
329,Blade Runner†, artificial intelligence human android relationship megacorporation police detective tech noir,1
330,Gandhi†, british india indian muslim pakistan,1
331,Firefox†, fighter plane jet fighter refueling russia soviet union,1
332,The Best Little Whorehouse in Texas†, chicken governor locker room sheriff texas,1
333,Megaforce†, dictator electronic music score one word title secret headquarters soldier,1
334,The Verdict†, archdiocese court hospital lawyer malpractice,1
335,Tootsie†, actor actress friend love reputation,1
336,Cat People†, cat cat people leopard love slip the undergarment,1
337,Star Trek II: The Wrath of Khan†, jamming communications planet space station taunt trap,1
338,E.T. the Extra-Terrestrial†, bicyclist boy doll star wars reference voice impersonation,1
339,The Man from Snowy River†, australia brumby ranch stallion twin,1
340,Diner†, baltimore colts diner marriage salesman wedding,1
341,The Beastmaster†, breasts critically acclaimed female frontal nudity psychotronic film sword and sorcery,1
342,Jekyll and Hyde... Together Again†, breasts growing coors light drugs hospital spinning in grave,1
343,Fast Times at Ridgemont High†, break up california high school surfer teacher,1
344,Class of 1984†, back to school city high school sadism teacher,1
345,Halloween III: Season of the Witch†, doctor factory halloween holiday horror stonehenge,1
346,Friday the 13th Part III†, defecation hockey mask jason voorhees lake serial killer,1
347,The Ballad of Gregorio Cortez†,,0
348,Butterfly†, breasts female frontal nudity female rear nudity incest voyeur,1
349,Superman III†, computer high school kryptonite smallville villain,1
350,Never Say Never Again†, british character says now that youre on the case i hope were going to have some gratuitous sex and violence cruise missile missile nuclear warhead,1
351,Krull†, cyclops fortress monster planet rescue,1
352,Star Wars: Episode VI - Return of the Jedi†, death star emperor empire princess rebel,1
353,Octopussy†, agent egg faberge egg general russian,1
354,The Right Stuff†, astronaut sound barrier space program us air force us space program,1
355,Scarface†, assassination attempt capitalism cocaine cuban american cuban refugee,1
356,National Lampoon's Vacation†, amusement park dog family vacation national lampoon series vacation,1
357,WarGames†, computer game high school norad teenager,1
358,Yentl†, love study talmud wedding yeshiva,1
359,Twilight Zone: The Movie†, 1940s 1960s bar kick the can remake,1
360,The Outsiders†, dysfunctional family gang greaser holding someones head underwater rivalry,1
361,The Dead Zone†, car accident coma evil politician psychic vision,1
362,Trading Places†, interracial relationship poverty prostitute scam stock market,1
363,The Wicked Lady†, female nudity highwayman nell gwynne nudity whipping,1
364,Flashdance†, ballet school dance dancer overalls steel worker,1
365,Losin' It†, apostrophe in title bare breasts friendship between men teen sex comedy two word title,1
366,Videodrome†, cyberpunk hallucination illegality snuff film surrealism,1
367,Lone Wolf McQuade†, drugs martial arts texas texas ranger weapon,1
368,A Christmas Story†, bb gun boy bully christmas tongue stuck on a pole,1
369,Love Letters†, 1980s affair female protagonist radio woman wearing only a mans shirt,1
370,Gabriela†, based on novel brazil female underarm hair sex in a window star appears nude,1
371,Red Dawn†, guerrilla high school invasion soviet wolverine,1
372,The Cotton Club†, brothers hugging jazz jealousy nudity parole violation,1
373,Dune†, desert planet dune giant worm space travel spice,1
374,The Karate Kid†, apartment bully fight karate master,1
375,A Nightmare on Elm Street†, freddy krueger lucid dream serial killer slasher sleep deprivation,1
376,Once Upon a Time in America†, 1920s ambiguity childhood friend new york speakeasy,1
377,Indiana Jones and the Temple of Doom†, children studio logo segues into film temple village white dinner jacket,1
378,A Passage to India†, doctor english india magistrate mosque,1
379,The NeverEnding Story†, book dragon story within the story talking animal werewolf,1
380,Sheena†, chimpanzee elephant jungle mercenary shaman,1
381,Footloose†, church cowboy boots dancing high school dance teenager,1
382,The Bounty†, lieutenant lifeboat mutiny sailing ship ship,1
383,Star Trek III: The Search for Spock†, dying planet planet regaining ones memory sacrifice stabbed to death,1
384,Amadeus†, 1800s classical composer composer first person narration opera,1
385,Conan the Destroyer†, gods princess queen rescue wizard,1
386,Beverly Hills Cop†, drug dealer drugs murder police brutality police shootout,1
387,Firestarter†, captain experiment fire psychic secret government agency,1
388,Gremlins†, bright light midnight pet small town water,1
389,Body Double†, actor neighbor police thief tunnel,1
390,The Ice Pirates†, bar fight cult film ice psychotronic sword fight,1
391,Splash†, cmnf cmnf scene mermaid new york city public nudity,1
392,The Hotel New Hampshire†, football hotel teenage girl terrorist wien,1
393,The Terminator†, cyborg future war robot shootout in a police station urban setting,1
394,Police Academy†, misfit police police academy police cadet police officer,1
395,Friday the 13th: The Final Chapter†, friday the thirteenth hockey mask jason voorhees morgue slasher,1
396,Repo Man†, punk punk rocker repossession televangelist ufo,1
397,C.H.U.D.†, bum city mutant new york city street,1
398,The Toxic Avenger†, boy health club superhero toxic waste troma,1
399,Rambo: First Blood Part II†, 1980s mission prison rambo vietnam,1
400,Out of Africa†, africa hunter love marriage plantation,1
401,A View to a Kill†, computer earthquake microchip official james bond series silicon valley,1
402,Return to Oz†, chicken delusional depression doctor king mysterious girl,1
403,Silverado†, 1880s kiss small town table broken in fight wild west,1
404,Lifeforce†, alien halleys comet life force space vampire vampire,1
405,Ladyhawke†, bishop escape hawk lady thief,1
406,Back to the Future†, clock tower delorean future time travel time travel comedy,1
407,Young Sherlock Holmes†, cult death delusion girl sherlock holmes,1
408,Day of the Dead†, bunker experiment military research scientist,1
409,Red Sonja†, cult film psychotronic sword and sorcery talisman warrior,1
410,The Color Purple†, book strap girl racial discrimination racial tension stereotype,1
411,Brazil†, black comedy bureaucracy dream terrorist wrongful arrest,1
412,Witness†, amish love murder police train,1
413,Mad Max Beyond Thunderdome†, arena desert fight mad max post apocalypse,1
414,Commando†, body count dictator jumping from an airplane knife fight one man army,1
415,The Last Dragon†, cult film kung fu kung fu classic martial arts title spoken by character,1
416,Invasion U.S.A.†, army nightmare one man army rescue spy,1
417,Pale Rider†, gold miner preacher prospector sheriff,1
418,The Return of the Living Dead†, crematorium female frontal nudity naked dead woman paramedic poison gas,1
419,A Nightmare on Elm Street 2: Freddy's Revenge†, freddy krueger gay gay subtext homoeroticism jock strap,1
